shapeName,shapeID,area_km2,tri_mean,dist_road_mean,forest_pct,water_pct,road_length_km,road_density,spi,ai,priority
BAGH,9618217B73079690921862,449.2769935179929,38.98483343627915,2792.6241557602516,0.017803493935684877,0.10682096361410928,98.83617547036924,0.21998939829179345,-0.2615491829853863,1.2871623408925679,False
DHEERKOT,9618217B97675599580596,230.1728394494436,37.58955988862831,3358.645386538754,0.26514822220290357,0.00869338433452143,25.600339909718112,0.11122224486152334,-0.2880934998963895,0.5881212355396271,False
BARNALA,9618217B79573260848394,425.7600286789201,9.399435620994886,3256.0872667453923,0.27011791234086535,0.35702541457227416,41.42942697686006,0.09730699029077569,-1.2395640821613896,0.5083819843794679,False
BHIMBER,9618217B68732265330698,372.1665580690074,13.636903656130324,3049.6537523346806,0.2553282984384659,0.01343833149676136,44.5778646609701,0.11977933990701131,-1.1029953990386203,0.6577682538499277,False
SAMAHNI,9618217B74772899110096,398.290898685503,21.258482172573444,2954.873309254766,0.017573810002008434,0.0,48.18687000634706,0.12098411027060951,-0.8659387464135783,0.6704147099196273,False
HATTIAN BALA,9618217B68754169353282,724.0401355896437,48.7239807334394,11719.436505599719,0.5496706119574074,0.6339166102724875,29.398694720436346,0.04060368103281269,0.12745431232192847,-0.308565244441535,True
HAVELI,9618217B64863264884629,542.0247773282896,45.03994148119412,8184.36993639234,0.02766966113888325,0.02766966113888325,24.607575538360948,0.04539935546794536,-0.05625473292139138,-0.08328535421413452,False
KOTLI,9618217B93166287325125,939.7529399679754,23.862582254088593,2588.048759985811,0.7278686431208964,0.019154437976865696,225.51439564363682,0.23997200333453794,-0.7121367356449317,1.4211619935003519,False
NAKIAL,9618217B15093186041287,190.8223633876274,29.442136610747884,5025.438984795642,0.0,0.005247691015952981,6.768827436911808,0.03547187717805348,-0.5893116885958881,0.030776486265427117,False
SEHNSA,9618217B87362341551768,485.5476113404167,22.803358758685125,2296.135122908732,1.1102871503316443,0.012359411692003462,102.36628036000694,0.2108264523790193,-0.7132859738666665,1.2584194379275546,False
DUDYAL,9618217B37808039502792,317.56877674041453,9.195517754113597,2350.122246015109,10.77489845398155,0.028338423753896537,57.1235400321419,0.17987769647403193,-0.29168247109284895,1.0654449048207826,False
MIRPUR,9618217B94086344698677,582.185808431261,6.924880331162268,1576.8759969106088,26.577605302470936,0.25413396981300546,173.23667666366114,0.29756252068469186,1.0802875124127234,1.8307086584995749,False
MUZAFFARABAD,9618217B57894485120071,1303.0581155334157,47.62532527544763,4715.810160371042,0.7075652694426964,6.777892038739582,104.04317479874291,0.07984538337812518,0.21361956892165543,0.3203233248085966,False
ATHUMQAM,9618217B55768510626440,3494.316731916934,54.25493550683442,9861.380829848113,0.6035560872165734,8.816097118441801,148.81638611424663,0.04258812166480627,0.46561293349365235,-0.19344810260884923,True
ABBASPUR,9618217B83205974251307,104.27144702372762,38.70563121941141,1919.45577843691,0.009600614439324117,0.0,32.65320801451282,0.3131557962083559,-0.2736849385299303,1.9074516187675887,False
HAJEERA,9618217B82484311896760,267.8266679178409,29.247266686298573,1610.8589888145416,0.8844933756297817,0.1268893450270573,76.03146453299651,0.28388309918532867,-0.5128898098528306,1.7448527958597182,False
RAWALAKOT,9618217B87664867246475,356.7707789219054,31.61633731125381,2375.26078941136,0.16824631260164882,0.01962873647019236,97.1996545418267,0.272442868879413,-0.4997751241235803,1.632277716565889,False
PALLANDARI,9618217B46803973144296,572.5306834574884,30.44446300520378,5141.406009355859,0.21823387688117601,0.0017458710150494083,33.0855240049685,0.0577882111141475,-0.5353502274470675,0.16134420200018706,False
BAR CHAMARKAND,9618217B38361138378149,16.66556358839774,36.4629426595327,17979.941348770644,0.06006006006006006,0.0,0.0,0.0,-0.3452936111304601,-0.9046459710260614,False
BARANG,9618217B27103402875346,267.0539384890678,39.55876278398368,3742.076081996105,0.6289779108947959,0.018719580681392737,36.31919249772596,0.13599946401544172,-0.18771576320893305,0.7189781189625535,False
KHAR,9618217B31254576320005,276.4114283588974,12.835186257742219,2388.7256667932375,0.054271138608488007,0.025326531350627738,39.99020023061188,0.1446763633039366,-1.1484190262313672,0.847217524843666,False
MAMUND,9618217B90172425710539,266.03283752224667,24.003092510663745,6937.225045727951,0.007519079664649046,0.007519079664649046,2.866695632553043,0.010775720994643448,-0.7734426359801,-0.2267366329452314,False
NAWAGAI,9618217B6749340310851,127.09234227098406,28.11787256306918,10389.037809522544,0.0,0.0550487574709028,0.0,0.0,-0.6334359014925339,-0.48411373507506245,False
SALARZAI,9618217B53890861075426,237.95614985386928,25.181694787066245,4442.812975268418,0.29413000546241436,0.02941300054624144,12.193621265798498,0.051243144055266886,-0.7067862170151288,0.15986800890644012,False
UTMAN KHEL,9618217B58376820156413,170.3061111925454,30.45739201694573,4719.866603099844,0.8276590749002113,0.011739845034045552,3.738317253917023,0.021950576099354066,-0.4790023384902353,-0.03529753316172096,False
AMBAR UTMAN KHEL,9618217B21414584218612,233.19628794933172,26.87859667672449,3056.8143958345045,0.0471859986273164,0.11582017844886754,27.4161774922255,0.11756695500308485,-0.6701617544587672,0.6437904945493049,False
SAFI,9618217B32259055898287,322.8802869327046,21.38360835745532,10495.040093059317,0.0030963586821897444,0.25699777062174883,12.05093234180623,0.03732322111172402,-0.8584478113492492,-0.26087190454001313,False
UPPER MOMAND,9618217B63558675564153,513.8074016796709,23.797592912330106,13126.118070154673,0.0681384573453257,0.04867032667523265,1.3980733214742136,0.002721006581267257,-0.7741529675212125,-0.6190432888320949,False
ASTORE,9618217B70325037560475,5206.053764504698,48.84533952615123,12384.744176464155,0.26411223713629345,19.301130208293316,152.91280911561407,0.02937211485562945,0.4368411723488804,-0.41436964213497335,True
CHILAS,9618217B41750222117386,4219.784738764563,50.24708171535301,16652.20123522967,0.4068971074047216,14.758255247953667,51.301140630058484,0.012157288536257905,0.41689611784812125,-0.7564604610297028,True
DAREL TANGIR,9618217B87521623220935,2682.0354177087884,50.63146055777185,19110.7049298037,0.19127231510342874,9.797020178669968,27.61022921453728,0.010294505819063408,0.3221708660226038,-0.9040953052044727,True
KHAPLU,9618217B25754962135590,2637.4323947344633,52.01199811497285,8516.417294677092,0.532346495385572,37.30444607906331,115.50446964512788,0.04379428639601467,0.8885879813293388,-0.11153357285320097,True
MASHABRUM,9618217B85218379767883,5908.0640334088575,50.29164037363268,19132.28425460785,0.04451651342604504,33.77212284526534,88.84744045274316,0.015038334038075687,0.7228011834426182,-0.8761700735534821,True
GUPIS,9618217B90015961408219,5298.000053249936,49.85490008975599,31219.860492660402,0.41961605979953565,39.63267078165997,1.6852476286787663,0.0003180912819442102,0.8462949387255349,-1.6361781766002397,True
ISHKOMEN,9618217B15965056410830,2754.8893163101698,56.27520600759633,24901.086704755548,0.3161719597942523,33.913526424498066,3.7701063984185788,0.0013685146536007353,0.9535195856267961,-1.279673104079809,True
PUNIAL,9618217B13486207754369,1540.4236789470865,49.03447602012563,15258.935111824498,0.619247296472757,23.540484752495814,29.47434217290833,0.019133919178037233,0.5510020649607963,-0.6364471042512428,True
YASIN,9618217B38991384841424,2500.8326204372797,54.263278893817,10903.940537680524,0.23111310147384584,31.122298015946004,64.56613851203507,0.02581785681472175,0.8278116910483984,-0.35415222258947554,True
GILGIT,9618217B24239170098361,4002.6924589700297,55.21427629439186,13446.862637292543,0.41622425143342534,23.0457322024159,108.48095210665356,0.02710199527409303,0.7336884083764111,-0.48714594676052947,True
ALIABAD,9618217B18607943062555,805.7070538812313,68.42625088891879,13333.86413374851,0.04096630831491919,28.53862005611143,18.051123268965824,0.022404077489467687,1.2459205430282692,-0.5097247736897115,True
GOJAL,9618217B58972864826743,10801.975096734648,53.69587780654561,23963.102539197767,0.12293666817560318,54.55462766760073,109.55303763849194,0.010141945029257563,1.2145999745620295,-1.1738522085469425,True
NAGAR-I,9618217B7415913583848,1414.0358344825315,57.475730247613946,17734.81204973228,0.5856101166269423,35.62320091094907,41.785103735103775,0.0295502438595519,1.0493117432555668,-0.709667237745103,True
NAGAR-II,9618217B11035459557122,1450.7271779732662,58.81352176218135,23225.85361642637,0.35217819803303996,21.773020806770642,0.0,0.0,0.8275675443953135,-1.1952668706480523,True
GULTARI,9618217B83227364220136,3527.7410040902296,35.52387122595366,8661.356374036286,0.38752328116273993,23.18506150195746,139.85608607964548,0.03964465813037004,0.0643117400848024,-0.1450362529609217,True
KHARMANG,9618217B70387484269248,2789.4386265053054,48.477703655288664,10017.426837036528,0.4706902979724111,27.67537067309071,85.04600533902516,0.03048857376925816,0.5918950522649263,-0.27636789901049946,True
RONDU,9618217B20972596228202,1651.8703934276025,58.37408555829063,23711.633060259013,0.16649311021238467,26.317414573898724,0.0,0.0,0.8763226599549228,-1.2221788073678026,True
SHIGAR,9618217B26900800837648,8917.203853891411,51.51642561094096,29198.584833021156,0.18043294936663437,29.9020795205799,99.1559916517365,0.011119628223870363,0.7081576695999781,-1.4578936349800562,True
SKARDU,9618217B88498185372954,1932.1847771181483,41.874683679039,8783.162483726981,0.8167405942848862,26.592204216203346,105.98208656943164,0.05485090650983382,0.3798933580477349,-0.05843836772209285,False
ALAI,9618217B82118214800407,818.5817149927093,50.0987816866144,9426.559820626288,0.34086327595264565,7.363379799880271,73.1994718646749,0.08942231486972178,0.27454495674405227,0.11813962366312575,False
BATAGRAM,9618217B42013741972359,537.0035719552906,39.09727880442057,4350.077165896251,0.24023241089053596,11.095385302990799,42.237194644487204,0.07865347057319715,-0.04232018229120162,0.3332680095172295,False
DAGGAR,9618217B69506225279330,656.5941548691908,34.26316479948117,2085.0445276568507,0.0015229044834307991,0.287828947368421,125.41908368418208,0.19101462106248654,-0.42030196977023954,1.148495792687447,False
GAGRA,9618217B56430132914599,472.0975856270561,35.03186038566955,2494.0401268193646,0.16522273295346226,0.004236480332140058,70.31255648083159,0.14893648817847702,-0.3842401734386198,0.867534585150592,False
CHITRAL,9618217B14913426707390,5917.922388566619,54.165705637991934,40645.09675070184,0.27781298319434233,27.869677997177934,28.77483612851912,0.0048623206320028605,0.7710263037622241,-2.1304360748569375,True
MASTUJ,9618217B15142704211186,8849.246038145178,52.15655054171271,26035.355795874842,0.376761478568442,40.006441333016916,37.54082751447827,0.004242262826986209,0.927238114720931,-1.3248700980262686,True
DASSU,9618217B96945867102806,3513.999939458315,56.94377100247987,23521.608266035037,0.6630695853111589,11.360971667292741,1.3260705364155754,0.0003773678313210187,0.6076178692869714,-1.2093349992234068,True
KANDIA,9618217B42691934354201,2087.676811297326,60.75071518169327,36301.094952473235,0.32858655094289013,17.641170074674406,0.0,0.0,0.8179025915720137,-1.9196286605478832,True
PALAS,9618217B98955281089867,1410.3437231088728,57.39468140814967,12008.022770700982,0.8218692384059,5.9608566160828245,32.62046095079646,0.02312944030331129,0.5416035296823877,-0.43182107878470494,True
PATTAN,9618217B74983796043949,642.2212291880537,56.36675648839115,21223.518682838803,0.2740707289347058,9.070806795708302,0.0,0.0,0.511778790214757,-1.084338523002657,True
ADENZAI,9618217B4451792369461,387.5036874842125,24.07997690126276,2618.740509756792,0.893179823429191,0.18844545407610097,53.75401419672541,0.13871871657715626,-0.6866253762339373,0.797902892274341,False
LALQILLA,9618217B49164558096656,211.35278576809299,30.468217063848634,3227.996177148869,0.004734400151500805,0.004734400151500805,23.940925289756947,0.11327470893156878,-0.5540140565250101,0.6079585007363251,False
MUNDA,9618217B64606316264088,228.01114205602386,22.549833864436174,5486.462298884638,0.7453525078919677,0.23237460540161348,3.1299527298112935,0.013727192020476979,-0.7513697088607996,-0.12824705036393685,False
SAMARBAGH(BARWA),9618217B88301409575294,284.2665747426749,30.263201741821064,4102.144074819177,0.007035812284528248,0.003517906142264124,23.450070484655566,0.082493238981344,-0.5607931249959953,0.37057438389482333,False
TEMERGARA,9618217B87730202746425,649.0157879567058,31.061104072677377,5762.0901151157595,0.6409268788709827,0.12941792746433303,39.71940077944028,0.06119943692662505,-0.47347114089038456,0.14789894650904517,False
SWAT RANIZAI,9618217B91992316601631,677.1415821315042,28.535492447083087,2586.757953161118,0.7987597814853094,0.10925734534179832,96.57897673436904,0.1426274493885873,-0.5452343665474394,0.8236690642607496,False
BALAKOT,9618217B1796422743035,2436.4136507361986,48.584196617764825,21817.019979437806,0.6102816242438172,8.720830015841877,25.767907133983243,0.010576162683293573,0.271803237217914,-1.0522948032427728,True
MANSEHRA,9618217B1764376648259,1368.0828749983593,28.145216726738653,3398.6998075487472,0.19368938070561406,5.117054167245298,174.0027390227477,0.12718727951547262,-0.524934371745202,0.6839060488391987,False
ALPURI,9618217B67800644266725,571.833679362834,50.3837558736364,11585.111653642987,0.05071792091502125,0.26583186134769754,11.416150852314793,0.019964110657202362,0.1317030668675196,-0.4278228760960293,True
BISHAM,9618217B47007823281887,184.0247036565032,51.499823465529666,9368.596808824754,2.2980387895909162,6.057478133318846,1.4756125511302218,0.008018556866607272,0.47796151060004416,-0.37835867891190667,True
CHIKSAR,9618217B39481930993585,240.65880789705253,48.27333210526169,6752.148410222553,0.5856941098280303,0.6853867242668439,0.0,0.0,0.11634592713960687,-0.2826318926189792,True
MARTUNG,9618217B75574497464279,151.34601738305216,42.557544136129316,3520.6259562927603,2.8820729772607088,0.38339502908514017,2.552634656753474,0.016866216243357324,0.1267208959975071,-7.132579106305936e-05,False
PURAN,9618217B85285460066544,241.31924046493998,42.089660269118326,3077.741226321496,0.0,0.0,45.59147232634963,0.18892597307413364,-0.15954860788062042,1.0806794098913497,False
BABUZAI,9618217B96227356091196,325.58460853057363,35.003185800705154,3135.904005758989,0.7154701222133514,0.411472087453172,51.944116537683506,0.15954106913136146,-0.32766626474958793,0.8970734920835042,False
BAHRAIN,9618217B66331326355874,3185.3552113610567,52.762072977370366,27381.138430757426,0.6228788682692821,17.91781389610104,7.7563181668934265,0.0024349931647275414,0.5782130709731406,-1.4105199800892823,True
BARIKOT,9618217B68002200879702,350.72760825874815,30.24064069335084,2606.6865338948764,1.9704012090450256,0.35644016082580054,46.39840315999835,0.13229184719831946,-0.37574798875014553,0.7591183554004037,False
CHARBAGH,9618217B24557098667068,134.9929750202724,31.91158892184401,2679.360352640229,0.4220034056415192,1.0068853187236249,15.204563700407723,0.11263225881290782,-0.4490090220634759,0.6344088709570253,False
KABAL,9618217B36757297695869,405.76650407581604,23.437610182947232,2036.9226491789125,0.7293694404060813,0.6825518074070424,86.01225542799999,0.21197475534335605,-0.7146667007268172,1.2798287119742549,False
KHAWAZA KHELA,9618217B23020330942802,286.53234357053367,34.09889822438957,5303.567774119219,0.5340314136125655,0.34904013961605584,4.470027512263409,0.01560042910535527,-0.37610121906983374,-0.10661563326023632,False
MATTA,9618217B40124352215218,680.4163559458374,34.727050057040735,3504.744466789998,0.44974205970105385,0.9244697893854995,83.48696721722686,0.12269982414101846,-0.3522452265012232,0.6504842966333395,False
TORGHER,9618217B27486600301498,467.13520262330667,46.94733252310115,3199.6637490469975,6.9072540080053075,0.717053019114279,73.3198271397654,0.1569563302616048,0.649938334177491,0.8776744193442247,False
DIR,9618217B75611380767926,1129.0781698158198,40.68742824948009,3862.423686078823,0.19665509177237617,3.801112607185883,109.80292137863015,0.09725006143422442,-0.12174650185865875,0.47444178539054827,False
SHARINGAL,9618217B41054895723693,1972.7634896687232,50.09264686182627,11362.226338202807,0.3968616002189581,10.801427282587762,51.107081034727685,0.025906339661278834,0.34048884626942305,-0.3789978598134786,True
WARI,9618217B67850657595713,487.6850083127212,35.397341377711626,9247.480540567696,0.3977284375832872,0.03280234536769379,0.0,0.0,-0.3500490249513114,-0.4208720368638309,False
